ejercicio,musculo,source,matched_catalog_ids,reason
"Kettlebell Sumo Tiro alto","Back","lyfta","05481101","lyfta_entry_without_local_image"
"Levantamiento turco con pesa rusa","Thighs","lyfta","05511101","lyfta_entry_without_local_image"
"Limpieza de dos brazos con pesa rusa","Shoulders","lyfta","05521101","lyfta_entry_without_local_image"
"Levantando mÃºsculos","Back","lyfta","05581101","lyfta_entry_without_local_image"
"Flexor de cadera de rodillas","Quadriceps Thighs","lyfta","05601101","lyfta_entry_without_local_image"
"Salto de caja lateral","Plyometrics","lyfta","05641101","lyfta_entry_without_local_image"
"Paso lateral","Hips","lyfta","05661101","lyfta_entry_without_local_image"
"Puente lateral del banco de piernas","Waist","lyfta","05681101","lyfta_entry_without_local_image"
"Dominadas asistidas por palanca","Back","lyfta","05721101","lyfta_entry_without_local_image"
"Press militar de palanca","Shoulders","lyfta","05871101|31011101","lyfta_entry_without_local_image"
"Remo sentado con palanca y agarre estrecho","Back","lyfta","05881101|31021101","lyfta_entry_without_local_image"
"InmersiÃ³n de trÃ­ceps por encima de la palanca","Triceps Upper Arms","lyfta","05911101","lyfta_entry_without_local_image"
"Giro de palanca","Waist","lyfta","06081101","lyfta_entry_without_local_image"
"Gatos bajos","Cardio","lyfta","06101101","lyfta_entry_without_local_image"
"Estiramiento cruzado acostado","Hips","lyfta","06151101","lyfta_entry_without_local_image"
"Estiramiento del flexor de la cadera acostado","Hips","lyfta","06161101","lyfta_entry_without_local_image"
"Levantamiento de piernas con cadera acostada","Hips","lyfta","06171101","lyfta_entry_without_local_image"
"Levantamiento de pierna recta con cadera acostada","Hips","lyfta","06191101","lyfta_entry_without_local_image"
"Banco plano con elevaciÃ³n de piernas acostado","Waist","lyfta","06201101","lyfta_entry_without_local_image"
"Crujido de tijera acostado","Waist","lyfta","06211101","lyfta_entry_without_local_image"
"Patada de tijera acostada","Hips","lyfta","06221101","lyfta_entry_without_local_image"
"Levantamiento de piernas alterno simultÃ¡neo acostado","Hips","lyfta","06231101","lyfta_entry_without_local_image"
"Dominadas con agarre mixto","Back","lyfta","06271101","lyfta_entry_without_local_image"
"Abdominales oblicuos en suelo","Waist","lyfta","06351101","lyfta_entry_without_local_image"
"ExtensiÃ³n de trÃ­ceps con barra olÃ­mpica","Triceps Upper Arms","lyfta","06371101","lyfta_entry_without_local_image"
"Dominadas con un brazo","Back","lyfta","06381101","lyfta_entry_without_local_image"
"InmersiÃ³n con un brazo","Triceps Upper Arms","lyfta","06391101","lyfta_entry_without_local_image"
"Golpe con un brazo","Waist","lyfta","06401101","lyfta_entry_without_local_image"
"Otis arriba","Waist","lyfta","06411101","lyfta_entry_without_local_image"
"Colocar Jog","Cardio","lyfta","06441101","lyfta_entry_without_local_image"
"Sentadilla Plyo","Quadriceps Thighs","lyfta","06471101","lyfta_entry_without_local_image"
"Estiramiento de pretzel","Waist","lyfta","06491101","lyfta_entry_without_local_image"
"Pull-in","Waist","lyfta","06501101","lyfta_entry_without_local_image"
"Levantar","Back","lyfta","06511101|06521101","lyfta_entry_without_local_image"
"BalÃ³n medicinal para flexiones","Chest","lyfta","06631101","lyfta_entry_without_local_image"
"Dominada trasera","Back","lyfta","06701101","lyfta_entry_without_local_image"
"HiperextensiÃ³n inversa","Thighs","lyfta","06751101","lyfta_entry_without_local_image"
"Puente rodante","Waist","lyfta","06791101","lyfta_entry_without_local_image"
"Subida de cuerda","Back","lyfta","06801101","lyfta_entry_without_local_image"
"Crunch lateral sentado","Waist","lyfta","06911101","lyfta_entry_without_local_image"
"Estiramiento de isquiotibiales sentado con una sola pierna","Hamstrings Thighs","lyfta","06921101","lyfta_entry_without_local_image"
"Estiramiento de pantorrilla con pierna recta sentado","Calves","lyfta","06931101","lyfta_entry_without_local_image"
"Presa de hombro","Shoulders","lyfta","06981101","lyfta_entry_without_local_image"
"Cadera lateral","Waist","lyfta","07091101","lyfta_entry_without_local_image"
"ElevaciÃ³n de pies acostados de lado","Thighs","lyfta","07121101","lyfta_entry_without_local_image"
"Flexiones laterales","Triceps Upper Arms","lyfta","07171101","lyfta_entry_without_local_image"
"abdominales laterales","Waist","lyfta","07181101","lyfta_entry_without_local_image"
"MentÃ³n de lado a lado","Back","lyfta","07201101","lyfta_entry_without_local_image"
"Puente de pierna lateral","Hips","lyfta","07221101","lyfta_entry_without_local_image"
"Puente de una sola pierna","Hips","lyfta","07261101","lyfta_entry_without_local_image"
"abdominales","Waist","lyfta","07351101|07361101","lyfta_entry_without_local_image"
"Press de pantorrillas con trineo a 45Â°","Calves","lyfta","07381101","lyfta_entry_without_local_image"
"Smith encogiÃ©ndose de hombros","Back","lyfta","07461101|07671101","lyfta_entry_without_local_image"
"Prensa Smith detrÃ¡s del cuello","Shoulders","lyfta","07471101","lyfta_entry_without_local_image"
"Press de banca Smith","Chest","lyfta","07481101","lyfta_entry_without_local_image"
"Smith rodilla doblada Buenos dÃ­as","Hips","lyfta","07491101","lyfta_entry_without_local_image"
"Press de banca declinado de Smith","Chest","lyfta","07531101","lyfta_entry_without_local_image"
"ElevaciÃ³n de cadera de Smith","Waist","lyfta","07561101","lyfta_entry_without_local_image"
"Remo deltogrÃ¡fico trasero de Smith","Shoulders","lyfta","07621101","lyfta_entry_without_local_image"
"Prensa Smith con agarre inverso","Chest","lyfta","07641101","lyfta_entry_without_local_image"
"Press de hombros Smith","Shoulders","lyfta","07661101","lyfta_entry_without_local_image"
"FlexiÃ³n de muÃ±eca de pie hacia atrÃ¡s de Smith","Forearms","lyfta","07711101","lyfta_entry_without_local_image"
"Smith de pie detrÃ¡s de la cabeza Press militar","Shoulders","lyfta","07721101","lyfta_entry_without_local_image"
"Prensa militar de pie Smith","Shoulders","lyfta","07741101","lyfta_entry_without_local_image"
"FlexiÃ³n de arrastre de araÃ±a","Hips","lyfta","07781101","lyfta_entry_without_local_image"
"Jerk en cuclillas","Thighs","lyfta","07861101","lyfta_entry_without_local_image"
"Press de pie detrÃ¡s del cuello","Shoulders","lyfta","07881101","lyfta_entry_without_local_image"
"Estiramiento de los isquiotibiales de pie","Hamstrings Thighs","lyfta","07891101","lyfta_entry_without_local_image"
"ElevaciÃ³n lateral de pie","Shoulders","lyfta","07931101","lyfta_entry_without_local_image"
"Giro de codo a rodilla opuesto hacia arriba","Cardio","lyfta","08001101","lyfta_entry_without_local_image"
"Fallout abdominal suspendido","Waist","lyfta","08051101","lyfta_entry_without_local_image"
"Sentadilla dividida suspendida","Quadriceps Thighs","lyfta","08091101","lyfta_entry_without_local_image"
"sentarse con el dedo del pie","Quadriceps Thighs","lyfta","08101101","lyfta_entry_without_local_image"
"Peso muerto con barra trampa","Quadriceps Thighs","lyfta","08111101","lyfta_entry_without_local_image"
"Fondos de trÃ­ceps en el suelo","Triceps Upper Arms","lyfta","08151101","lyfta_entry_without_local_image"
"Estiramiento de trÃ­ceps","Triceps Upper Arms","lyfta","08171101","lyfta_entry_without_local_image"
"JalÃ³n lateral con agarre paralelo y doble mango","Back","lyfta","08181101","lyfta_entry_without_local_image"
"abdominales con giro","Waist","lyfta","08211101","lyfta_entry_without_local_image"
"Caminar","Cardio","lyfta","08281101|08291101","lyfta_entry_without_local_image"
"ElevaciÃ³n de pantorrilla en burro con peso","Calves","lyfta","08331101","lyfta_entry_without_local_image"
"Crujido con extensiÃ³n de pierna ponderada","Waist","lyfta","08361101","lyfta_entry_without_local_image"
"AbducciÃ³n de cadera acostada con peso","Hips","lyfta","08371101","lyfta_entry_without_local_image"
"Giro acostado ponderado","Waist","lyfta","08391101","lyfta_entry_without_local_image"
"TriÃ¡ngulo de reducciÃ³n ponderado","Hamstrings Thighs","lyfta","08431101","lyfta_entry_without_local_image"
"Curl de bÃ­ceps sentado con peso","Biceps Upper Arms","lyfta","08471101","lyfta_entry_without_local_image"
"ExtensiÃ³n de cuello sentado con peso","Neck","lyfta","08481101","lyfta_entry_without_local_image"
"Curl de pie ponderado","Forearms","lyfta","08531101|36261101","lyfta_entry_without_local_image"
"Giro de pie ponderado","Waist","lyfta","08551101","lyfta_entry_without_local_image"
"Despliegue de ruedas","Back","lyfta","08571101|23321101","lyfta_entry_without_local_image"
"Rodillo de muÃ±eca","Forearms","lyfta","08591101","lyfta_entry_without_local_image"
"Remo sentado con cable","Back","lyfta","08611101","lyfta_entry_without_local_image"
"RotaciÃ³n externa del hombro erguido","Back","lyfta","08641101","lyfta_entry_without_local_image"
"Levantamiento de pierna y cadera acostado","Waist","lyfta","08651101","lyfta_entry_without_local_image"
"Rizo","Biceps Upper Arms","lyfta","08681101","lyfta_entry_without_local_image"
"colillas","Waist","lyfta","08701101","lyfta_entry_without_local_image"
"Crujiente de pliegue","Waist","lyfta","08711101","lyfta_entry_without_local_image"
"Levantamiento de mentiras Smith","Hips","lyfta","08851101","lyfta_entry_without_local_image"
"Estocada trasera de Smith","Quadriceps Thighs","lyfta","08871101","lyfta_entry_without_local_image"
"MÃºsculos del cuerpo. Femenino. Vista trasera","Full body","lyfta","08891101","lyfta_entry_without_local_image"
"MÃºsculos del cuerpo. Femenino. Vista lateral","Full body","lyfta","08901101","lyfta_entry_without_local_image"
"ExtensiÃ³n de banda para la espalda","Back","lyfta","08911101","lyfta_entry_without_local_image"
"Remo con banda inclinada","Back","lyfta","08921101","lyfta_entry_without_local_image"
"AducciÃ³n de cadera con banda","Hips","lyfta","09001101|40291101","lyfta_entry_without_local_image"
"FlexiÃ³n de banda","Chest","lyfta","09151101","lyfta_entry_without_local_image"
"Empuje de banda","Triceps Upper Arms","lyfta","09161101|15021101","lyfta_entry_without_local_image"
"Curl inverso con banda","Forearms","lyfta","09171101","lyfta_entry_without_local_image"
"Peso muerto con una pierna rÃ­gida con banda","Hips","lyfta","09191101","lyfta_entry_without_local_image"
"RotaciÃ³n externa del hombro con banda de pie","Back","lyfta","09211101","lyfta_entry_without_local_image"
"RotaciÃ³n interna del hombro con banda de pie","Back","lyfta","09241101","lyfta_entry_without_local_image"
"Remo vertical con banda","Shoulders","lyfta","09341101|15001101","lyfta_entry_without_local_image"
"Postura del gato","Yoga","lyfta","09421101","lyfta_entry_without_local_image"
"Postura de la silla I Utkatasana I","Yoga","lyfta","09441101","lyfta_entry_without_local_image"
"Postura de la grulla Bakasana","Yoga","lyfta","09461101","lyfta_entry_without_local_image"
"Postura del pez Matsyasana","Yoga","lyfta","09501101","lyfta_entry_without_local_image"
"Postura de la media luna Ardha Chandrasana","Yoga","lyfta","09521101","lyfta_entry_without_local_image"
"Uttanasana con flexiÃ³n hacia adelante de pie","Yoga","lyfta","09591101","lyfta_entry_without_local_image"
"Postura del guerrero I Virabhadrasana I","Yoga","lyfta","09641101","lyfta_entry_without_local_image"
"Vista frontal del peso muerto con barra","Back","lyfta","09671104","lyfta_entry_without_local_image"
"Crunch de bicicleta con banda","Waist","lyfta","09721101","lyfta_entry_without_local_image"
"Curl de concentraciÃ³n de banda","Biceps Upper Arms","lyfta","09761101","lyfta_entry_without_local_image"
"JalÃ³n con banda arrodillada con un brazo","Back","lyfta","09831101","lyfta_entry_without_local_image"
"Curs de bÃ­ceps por encima de la cabeza con un brazo","Biceps Upper Arms","lyfta","09861101","lyfta_entry_without_local_image"
"Abdominales con empuje de banda","Waist","lyfta","09921101","lyfta_entry_without_local_image"
"Curl de muÃ±eca inverso con banda","Forearms","lyfta","09941101","lyfta_entry_without_local_image"
"ExtensiÃ³n de trÃ­ceps lateral con banda","Triceps Upper Arms","lyfta","09981101","lyfta_entry_without_local_image"
"Remo en sentadilla con banda","Back","lyfta","10031101","lyfta_entry_without_local_image"
"Remo delt posterior con banda","Shoulders","lyfta","10061101","lyfta_entry_without_local_image"
"Crunch giratorio de pie con banda","Waist","lyfta","10071101","lyfta_entry_without_local_image"
"Peso muerto con pierna recta con banda","Back","lyfta","10101101","lyfta_entry_without_local_image"
"Press de hombros con torsiÃ³n de banda","Shoulders","lyfta","10121101","lyfta_entry_without_local_image"
"Pulldown de banda por debajo","Back","lyfta","10131101","lyfta_entry_without_local_image"
"Banda v-arriba","Waist","lyfta","10141101","lyfta_entry_without_local_image"
"ElevaciÃ³n en Y de banda","Shoulders","lyfta","10171101","lyfta_entry_without_local_image"
"ElevaciÃ³n de piernas de pie con banda","Hips","lyfta","10211101","lyfta_entry_without_local_image"
"Peso muerto con banda y espalda recta y piernas rÃ­gidas","Hips","lyfta","10231101","lyfta_entry_without_local_image"
"InmersiÃ³n de trÃ­ceps de pie asistida","Triceps Upper Arms","lyfta","10281101","lyfta_entry_without_local_image"
"AducciÃ³n de cadera lateral con palanca","Hips","lyfta","10351101","lyfta_entry_without_local_image"
"Levantamiento de piernas con palanca","Hips","lyfta","10361101","lyfta_entry_without_local_image"
"Sentadilla completa con palanca","Thighs","lyfta","10391101","lyfta_entry_without_local_image"
"Sentadilla con pistola de palanca","Thighs","lyfta","10401101","lyfta_entry_without_local_image"
"FlexiÃ³n del cuello acostado","Neck","lyfta","10431101","lyfta_entry_without_local_image"
"Pellizco de placa","Forearms","lyfta","10441101","lyfta_entry_without_local_image"
"Press militar sentado","Shoulders","lyfta","10451101","lyfta_entry_without_local_image"
"Pulldown frontal con agarre cerrado","Back","lyfta","10471101","lyfta_entry_without_local_image"
"Contragolpe con una pierna","Hips","lyfta","10491101","lyfta_entry_without_local_image"
"Estiramiento de glÃºteos acostado","Hips","lyfta","10561101","lyfta_entry_without_local_image"
"Estiramiento de pecho con un brazo de pie","Chest","lyfta","10581101","lyfta_entry_without_local_image"
"Hip Thrust","Hips","lyfta","10601101","lyfta_entry_without_local_image"
"Curl del brazo de suspensiÃ³n","Biceps Upper Arms","lyfta","10701101","lyfta_entry_without_local_image"
"SuspensiÃ³n Rodilla doblada Remo invertido","Back","lyfta","10711101","lyfta_entry_without_local_image"
"InmersiÃ³n en suspensiÃ³n en el pecho","Chest","lyfta","10721101","lyfta_entry_without_local_image"
"Mosca de suspensiÃ³n","Chest","lyfta","10741101","lyfta_entry_without_local_image"
"ElevaciÃ³n delantera de la suspensiÃ³n","Shoulders","lyfta","10751101","lyfta_entry_without_local_image"
"AbducciÃ³n de cadera con suspensiÃ³n","Hips","lyfta","10771101","lyfta_entry_without_local_image"
"HiperextensiÃ³n en suspensiÃ³n","Back","lyfta","10791101","lyfta_entry_without_local_image"
"Remo invertido con suspensiÃ³n","Back","lyfta","10801101","lyfta_entry_without_local_image"
"Alpinista de suspensiÃ³n","Hips","lyfta","10841101","lyfta_entry_without_local_image"
"InmersiÃ³n de trÃ­ceps autoasistido en suspensiÃ³n","Triceps Upper Arms","lyfta","10951101","lyfta_entry_without_local_image"
"InmersiÃ³n de trÃ­ceps en suspensiÃ³n","Triceps Upper Arms","lyfta","11031101","lyfta_entry_without_local_image"
"SuspensiÃ³n Y ElevaciÃ³n Lateral","Shoulders","lyfta","11071101","lyfta_entry_without_local_image"
"Embrague de bÃ­ceps con suspensiÃ³n","Biceps Upper Arms","lyfta","11091101","lyfta_entry_without_local_image"
"TablÃ³n delantero de suspensiÃ³n","Waist","lyfta","11141101","lyfta_entry_without_local_image"
"Estiramiento lateral en suspensiÃ³n","Back","lyfta","11181101","lyfta_entry_without_local_image"
"SuspensiÃ³n fila media","Shoulders","lyfta","11201101","lyfta_entry_without_local_image"
"Press de pecho con un brazo en suspensiÃ³n","Chest","lyfta","11241101","lyfta_entry_without_local_image"
"Press de pecho con suspensiÃ³n a una pierna","Chest","lyfta","11261101","lyfta_entry_without_local_image"
"FlexiÃ³n de suspensiÃ³n","Chest","lyfta","11281101","lyfta_entry_without_local_image"
"Estocada lateral con suspensiÃ³n","Quadriceps Thighs","lyfta","11321101","lyfta_entry_without_local_image"
"Abdominales en suspensiÃ³n","Waist","lyfta","11371101","lyfta_entry_without_local_image"
"Mosca dividida con suspensiÃ³n","Shoulders","lyfta","11391101","lyfta_entry_without_local_image"
"Crunch en suspensiÃ³n supina","Waist","lyfta","11471101","lyfta_entry_without_local_image"
"Plancha en suspensiÃ³n supina","Waist","lyfta","11481101","lyfta_entry_without_local_image"
"Estiramiento de la parte superior de la espalda en suspensiÃ³n","Back","lyfta","11531101","lyfta_entry_without_local_image"
"Peso muerto con suspensiÃ³n a una pierna","Hips","lyfta","11551101","lyfta_entry_without_local_image"
"Estiramiento lateral de suspensiÃ³n","Quadriceps Thighs","lyfta","11581101","lyfta_entry_without_local_image"
"Estocada de abducciÃ³n en suspensiÃ³n","Quadriceps Thighs","lyfta","11591101","lyfta_entry_without_local_image"
"Burpee","Cardio","lyfta","11601101|27941101","lyfta_entry_without_local_image"
"HiperextensiÃ³n de una pierna a 45 grados.","Hips","lyfta","11701101","lyfta_entry_without_local_image"
"Press de banca inclinado con agarre inverso ancho","Chest","lyfta","11731101","lyfta_entry_without_local_image"
"Press de martillo acostado","Chest","lyfta","11771101","lyfta_entry_without_local_image"
"Tumbado y simultÃ¡neo con elevaciÃ³n de piernas rectas y alternadas","Hips","lyfta","11801101","lyfta_entry_without_local_image"
"ElevaciÃ³n alternativa de pierna recta","Waist","lyfta","11861101","lyfta_entry_without_local_image"
"Crujido con torsiÃ³n ponderada","Waist","lyfta","11881101","lyfta_entry_without_local_image"
"TablÃ³n de cruz de hierro","Back","lyfta","11931101","lyfta_entry_without_local_image"
"curl de bÃ­ceps interno con un brazo","Biceps Upper Arms","lyfta","12031101","lyfta_entry_without_local_image"
"JalÃ³n lateral con cable a un brazo","Back","lyfta","12041101","lyfta_entry_without_local_image"
"salir adelante","Hips","lyfta","12061101","lyfta_entry_without_local_image"
"Prensa Pallof vertical de cable","Waist","lyfta","12131101","lyfta_entry_without_local_image"
"ElevaciÃ³n de pantorrilla con una pierna sentado con palanca","Calves","lyfta","12161101","lyfta_entry_without_local_image"
"MÃºsculo corporal. Vista frontal lateral","Full body","lyfta","12171101","lyfta_entry_without_local_image"
"Dominadas asistidas con agarre cercano por debajo","Back","lyfta","12221101","lyfta_entry_without_local_image"
"Prensas de placa fija","Shoulders","lyfta","12251101","lyfta_entry_without_local_image"
"Press de hombros de pie con barra EZ","Shoulders","lyfta","12261101","lyfta_entry_without_local_image"
"FlexiÃ³n de trÃ­ceps con un brazo de pie con cable","Triceps Upper Arms","lyfta","12271101","lyfta_entry_without_local_image"
"FlexiÃ³n lateral con cable de pie","Back","lyfta","12291101","lyfta_entry_without_local_image"
"Elevaciones frontales verticales alternas de pie con mancuernas","Shoulders","lyfta","12301101","lyfta_entry_without_local_image"
"Press de hombros con un brazo sentado con mancuernas","Shoulders","lyfta","12311101","lyfta_entry_without_local_image"
"Remo sentado con un brazo en palanca","Back","lyfta","12351101","lyfta_entry_without_local_image"
"Fila de asientos","Back","lyfta","12381101","lyfta_entry_without_local_image"
"Levantar y mantener la pierna acostada","Hips","lyfta","12451101","lyfta_entry_without_local_image"
"limpiaparabrisas","Waist","lyfta","12491101","lyfta_entry_without_local_image"
"Press de banca declinado con agarre inverso","Chest","lyfta","12561101","lyfta_entry_without_local_image"
"Press con cable declinado con un brazo","Chest","lyfta","12601101","lyfta_entry_without_local_image"
"Mosca de pecho con declinaciÃ³n de un brazo con cable","Chest","lyfta","12621101","lyfta_entry_without_local_image"
"Prensa con cable con un brazo sobre una pelota de ejercicio","Chest","lyfta","12671101","lyfta_entry_without_local_image"
"Estiramiento de pecho con pelota de ejercicios","Chest","lyfta","12721101","lyfta_entry_without_local_image"
"Aplaudir Empuje hacia arriba","Plyometrics","lyfta","12731101","lyfta_entry_without_local_image"
"Flexiones profundas","Chest","lyfta","12741101|28231101","lyfta_entry_without_local_image"
"InclinaciÃ³n con mancuernas con un brazo elevado","Chest","lyfta","12791101","lyfta_entry_without_local_image"
"Mosca en banco con un brazo y mancuernas","Chest","lyfta","12851101","lyfta_entry_without_local_image"
"Press de pecho inclinado con un brazo y mancuernas","Chest","lyfta","12891101","lyfta_entry_without_local_image"
"Jersey con mancuernas de un brazo sobre pelota de ejercicio","Chest","lyfta","12911101","lyfta_entry_without_local_image"
"Vuelo con una pierna con mancuernas sobre una pelota de ejercicio","Chest","lyfta","12921101","lyfta_entry_without_local_image"
"Jersey con mancuernas sobre pelota de ejercicio","Chest","lyfta","12951101|26211101","lyfta_entry_without_local_image"
"Pelota de ejercicio Pike Push up","Chest","lyfta","12961101","lyfta_entry_without_local_image"
"Press de suelo con un brazo y pesa rusa","Chest","lyfta","12981101","lyfta_entry_without_local_image"
"Press de pecho interior a mÃ¡quina","Chest","lyfta","13011101","lyfta_entry_without_local_image"
"Empuje de pecho con balÃ³n medicinal Respuesta mÃºltiple","Chest","lyfta","13041101","lyfta_entry_without_local_image"
"Empuje hacia arriba en la pelota Bosu","Chest","lyfta","13071101","lyfta_entry_without_local_image"
"Press de banca con agarre ancho Smith","Chest","lyfta","13081101","lyfta_entry_without_local_image"
"Press de banca declinado con agarre ancho Smith","Chest","lyfta","13091101","lyfta_entry_without_local_image"
"Empuje de pecho con balÃ³n medicinal con liberaciÃ³n de carrera","Chest","lyfta","13121101","lyfta_entry_without_local_image"
"Jersey con brazo doblado","Back","lyfta","13161101","lyfta_entry_without_local_image"
"Remo en banco inclinado con cable","Back","lyfta","13181101","lyfta_entry_without_local_image"
"Cable Cuerda ExtensiÃ³n Banco Inclinado Remo","Back","lyfta","13221101","lyfta_entry_without_local_image"
"Fila superior","Back","lyfta","13241101","lyfta_entry_without_local_image"
"Remo deltoides posterior acostado","Back","lyfta","13281101","lyfta_entry_without_local_image"
"ExtensiÃ³n de espalda con pelota de ejercicio con rotaciÃ³n","Back","lyfta","13361101","lyfta_entry_without_local_image"
"Estiramiento de espalda con pelota de ejercicio","Back","lyfta","13371101","lyfta_entry_without_local_image"
"Abrazo de pelota de ejercicio","Back","lyfta","13381101","lyfta_entry_without_local_image"
"ElevaciÃ³n de piernas propensas a la pelota de ejercicio","Back","lyfta","13431101","lyfta_entry_without_local_image"
"Remo inclinado con agarre inverso con barra EZ","Back","lyfta","13441101","lyfta_entry_without_local_image"
"Remo vertical con agarre inverso y palanca","Back","lyfta","13481101|26191101","lyfta_entry_without_local_image"
"Remo con agarre inverso y barra en T con palanca","Back","lyfta","13511101","lyfta_entry_without_local_image"
"Golpe por encima de la cabeza con balÃ³n medicinal","Back","lyfta","13541101|25451101","lyfta_entry_without_local_image"
"Colgar con una mano","Back","lyfta","13571101","lyfta_entry_without_local_image"
"Estiramiento en el suelo tumbado de lado","Back","lyfta","13581101","lyfta_entry_without_local_image"
"Remo con un brazo de Smith","Back","lyfta","13601101","lyfta_entry_without_local_image"
"Remo inclinado con agarre inverso Smith","Back","lyfta","13611101","lyfta_entry_without_local_image"
"Estiramiento de la parte superior de la espalda","Back","lyfta","13651101","lyfta_entry_without_local_image"
"Perro mirando hacia arriba","Back","lyfta","13661101","lyfta_entry_without_local_image"
"ElevaciÃ³n de pantorrilla con dos piernas con banda -","Calves","lyfta","13691101|39741101","lyfta_entry_without_local_image"
"ElevaciÃ³n de pantorrillas de pie con peso corporal","Calves","lyfta","13731101","lyfta_entry_without_local_image"
"ElevaciÃ³n de pantorrilla con una pierna de pie con cable","Calves","lyfta","13761101","lyfta_entry_without_local_image"
"Estiramiento de pantorrilla con las manos contra la pared","Calves","lyfta","13771101","lyfta_entry_without_local_image"
"ElevaciÃ³n de pantorrilla con una pierna sentado con mancuernas - Agarre de martillo","Calves","lyfta","13801101","lyfta_entry_without_local_image"
"Hack de elevaciÃ³n de pantorrilla","Calves","lyfta","13831101","lyfta_entry_without_local_image"
"Hackear elevaciÃ³n de pantorrilla con una pierna","Calves","lyfta","13841101","lyfta_entry_without_local_image"
"Estiramiento de peroneos","Calves","lyfta","13881101|43251101","lyfta_entry_without_local_image"
"Estiramiento del tibial posterior","Calves","lyfta","13891101","lyfta_entry_without_local_image"
"Prensa de pantorrillas en trineo en prensa de piernas","Calves","lyfta","13911101|22121101","lyfta_entry_without_local_image"
"ElevaciÃ³n de pantorrilla con una pierna sentado Smith","Calves","lyfta","13951101","lyfta_entry_without_local_image"
"ElevaciÃ³n del dedo del pie de Smith","Calves","lyfta","13961101|31121101","lyfta_entry_without_local_image"
"Estiramiento de espalda","Back","lyfta","14041101","lyfta_entry_without_local_image"
"Estiramiento acostado de los isquiotibiales","Hamstrings Thighs","lyfta","14061101","lyfta_entry_without_local_image"
"Estiramiento de empuje de pantorrilla con las manos contra la pared","Calves","lyfta","14071101","lyfta_entry_without_local_image"
"Curl de muÃ±eca con las palmas hacia arriba y con barra sobre un banco","Forearms","lyfta","14121101|26821101","lyfta_entry_without_local_image"
"Curl con un brazo invertido con cable","Forearms","lyfta","14131101|26951101","lyfta_entry_without_local_image"
"Curl de muÃ±eca neutro sentado con un brazo","Forearms","lyfta","14151101","lyfta_entry_without_local_image"
"Abrazo fuerte al pecho","Hips","lyfta","14181101","lyfta_entry_without_local_image"
"Push Up modificado hasta los antebrazos","Forearms","lyfta","14211101","lyfta_entry_without_local_image"
"InclinaciÃ³n pÃ©lvica hacia el puente","Hips","lyfta","14221101","lyfta_entry_without_local_image"
"Sentadilla con barra baja","Quadriceps Thighs","lyfta","14351101","lyfta_entry_without_local_image"
"Sentadilla con barra alta","Quadriceps Thighs","lyfta","14361101","lyfta_entry_without_local_image"
"Elevaciones de brazos en plancha","Back","lyfta","14401101","lyfta_entry_without_local_image"
"Curl de muÃ±eca inverso con un brazo sobre banco","Forearms","lyfta","14411101","lyfta_entry_without_local_image"
"IsomÃ©trico de retenciÃ³n de inmersiÃ³n","Chest","lyfta","14421101","lyfta_entry_without_local_image"
"Sentadilla con barra Zercher isomÃ©trica","Quadriceps Thighs","lyfta","14461101","lyfta_entry_without_local_image"
"InclinaciÃ³n con mancuernas 30 grados Flye Hold isomÃ©trica","Chest","lyfta","14491101","lyfta_entry_without_local_image"
"Peso muerto rumano","Femoral","lyfta+predefined","14591101","lyfta_entry_without_local_image"
"Flexiones en los antebrazos","Triceps Upper Arms","lyfta","14671101","lyfta_entry_without_local_image"
"Contragolpe de pierna recta","Hips","lyfta","14771101|31141101","lyfta_entry_without_local_image"
"Estiramiento de bÃ­ceps detrÃ¡s de la espalda","Biceps Upper Arms","lyfta","14801101","lyfta_entry_without_local_image"
"Postura de yoga con arco","Hips","lyfta","14811101","lyfta_entry_without_local_image"
"Postura de yoga con soporte para los hombros","Waist","lyfta","14871101","lyfta_entry_without_local_image"
"sentadilla mariquita","Quadriceps Thighs","lyfta","14891101","lyfta_entry_without_local_image"
"Estiramiento de fondos de trÃ­ceps","Triceps Upper Arms","lyfta","14921101","lyfta_entry_without_local_image"
"Postura de la rueda Postura de yoga","Waist","lyfta","14931101","lyfta_entry_without_local_image"
"Press de hombros con banda detrÃ¡s del cuello","Shoulders","lyfta","14991101","lyfta_entry_without_local_image"
"FlexiÃ³n de cadera con banda","Hips","lyfta","15071101","lyfta_entry_without_local_image"
"banda buenos dias","Hips","lyfta","15131101","lyfta_entry_without_local_image"
"Cuarto de sentadilla","Thighs","lyfta","15141101","lyfta_entry_without_local_image"
"Peso muerto limpio con barra","Thighs","lyfta","15151101","lyfta_entry_without_local_image"
"Barra limpia de bloques","Weightlifting","lyfta","15161101","lyfta_entry_without_local_image"
"Estocada en banco con declinaciÃ³n con barra","Thighs","lyfta","15181101","lyfta_entry_without_local_image"
"Smith buenos dÃ­as fuera Chapas","Hips","lyfta","15191101","lyfta_entry_without_local_image"
"Arranque colgante con barra por debajo de las rodillas","Weightlifting","lyfta","15231101","lyfta_entry_without_local_image"
"Arranque de potencia con barra","Weightlifting","lyfta","15301101","lyfta_entry_without_local_image"
"Arranque de potencia con barra desde bloques","Weightlifting","lyfta","15311101","lyfta_entry_without_local_image"
"Arranque con barra","Weightlifting","lyfta","15331101","lyfta_entry_without_local_image"
"Equilibrio de arranque con barra","Weightlifting","lyfta","15341101","lyfta_entry_without_local_image"
